City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Manavalakurichi,IN,2021-10-05 19:52:24,8.1333,77.3,77.09,88,68,9.66
198,Longyearbyen,SJ,2021-10-05 19:52:24,78.2186,15.6401,33.85,89,98,9.73
199,Motala,SE,2021-10-05 19:52:25,58.5371,15.0365,51.57,93,100,5.99
200,Flin Flon,CA,2021-10-05 19:52:25,54.7682,-101.865,53.44,32,90,12.66
201,Pacific Grove,US,2021-10-05 19:52:25,36.6177,-121.9166,81.61,77,1,1.99
202,Goulburn,AU,2021-10-05 19:52:26,-34.75,149.7167,36.64,84,45,13.87
203,Airai,TL,2021-10-05 19:52:26,-8.9266,125.4092,59.56,65,94,1.7
204,Pasighat,IN,2021-10-05 19:52:26,28.0667,95.3333,72.57,89,66,2.28
205,Katherine,AU,2021-10-05 19:52:27,-14.4667,132.2667,82.72,61,100,6.91
206,Otane,NZ,2021-10-05 19:52:27,-39.8833,176.6333,57.0,97,100,4.07
207,Almirante,PA,2021-10-05 19:52:27,9.3,-82.4,86.9,68,59,6.2
208,Oranjestad,AW,2021-10-05 19:52:28,12.524,-70.027,89.55,66,40,25.32
209,Durusu,TR,2021-10-05 19:52:28,41.3053,28.6767,61.84,69,100,15.99
210,Lagoa,PT,2021-10-05 19:52:28,39.05,-27.9833,71.94,87,55,10.22
211,Vila,PT,2021-10-05 19:52:29,42.0304,-8.1588,54.93,90,6,2.51
212,Lucapa,AO,2021-10-05 19:52:29,-8.4192,20.7447,68.59,89,63,0.18
213,Monrovia,LR,2021-10-05 19:52:29,6.3005,-10.7969,80.37,86,18,7.87
214,Caravelas,BR,2021-10-05 19:52:30,-17.7125,-39.2481,77.77,77,83,10.47
215,Talnakh,RU,2021-10-05 19:52:30,69.4865,88.3972,33.57,100,100,5.26
216,Sinnamary,GF,2021-10-05 19:52:31,5.3833,-52.95,84.27,69,85,9.04
217,Iqaluit,CA,2021-10-05 19:52:31,63.7506,-68.5145,40.73,80,75,17.0
218,Barrow,US,2021-10-05 19:52:31,71.2906,-156.7887,26.62,80,90,13.8
219,Qaanaaq,GL,2021-10-05 19:52:32,77.484,-69.3632,27.72,92,100,5.5
220,La Ronge,CA,2021-10-05 19:51:04,55.1001,-105.2842,50.25,37,90,17.27
221,Kimbe,PG,2021-10-05 19:52:32,-5.5502,150.1429,75.29,94,93,4.41
222,Sept-Iles,CA,2021-10-05 19:50:00,50.2001,-66.3821,57.72,67,75,3.0
223,Egvekinot,RU,2021-10-05 19:52:33,66.3167,-179.1667,28.72,92,100,11.97
224,Jiwani,PK,2021-10-05 19:52:33,25.05,61.7417,80.46,85,6,8.16
225,Totma,RU,2021-10-05 19:52:33,59.9747,42.7642,37.09,89,5,5.32
