,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Port Blair,IN,78.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
471,Razole,IN,76.39,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
475,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
481,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
490,Manacapuru,BR,79.38,moderate rain,-3.2997,-60.6206,Novo Hotel
499,Sao Filipe,CV,80.13,few clouds,14.8961,-24.4956,Hotel Xaguate
501,Waingapu,ID,76.23,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
505,Primo Tapia,MX,75.88,overcast clouds,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
508,Keti Bandar,PK,81.32,overcast clouds,24.1447,67.4497,Haji laloo memon house
517,Marsh Harbour,BS,83.82,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
519,Wukari,NG,75.13,overcast clouds,7.85,9.7833,Elimtop
526,Aswan,EG,78.84,clear sky,24.0934,32.907,Nuba Nile
532,Kapoeta,SS,75.18,scattered clouds,4.7717,33.5903,Eastgate Hotel
533,Samarai,PG,80.83,overcast clouds,-10.6167,150.6667,Nuli Sapi
535,Porbandar,IN,83.37,broken clouds,21.6422,69.6093,Lords Inn Porbandar
537,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
538,Ardakan,IR,75.58,clear sky,32.31,54.0175,Ardakan Hotel
543,Mach,PK,75.2,clear sky,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
544,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
549,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
552,Mahibadhoo,MV,83.21,broken clouds,3.7833,72.9667,Omadhoo Inn
553,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
554,Cairns,AU,80.94,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
